                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9273,                 1.2743,                0.37091,                0.77423,                0.85147,                0.85342,                0.74999,                 0.2501,                0.62183,                0.05727,             0.00054274,             0.00054274,             0.00054274
                      2,                0.34411,                0.53249,                0.08662,                0.84812,                0.81925,                0.91781,                0.82999,                0.19119,                0.48381,                0.03923,              0.0010962,              0.0010962,              0.0010962
                      3,                0.30638,                 0.5019,                0.07211,                0.87305,                0.83879,                0.92339,                0.82017,                0.23909,                0.48401,                0.07776,              0.0016475,              0.0016475,              0.0016475
                      4,                0.28684,                0.46894,                0.06397,                0.88991,                 0.8874,                0.95347,                0.85034,                0.19944,                0.47616,                0.04204,              0.0016571,              0.0016571,              0.0016571
                      5,                0.25375,                0.44746,                0.05358,                0.92193,                0.84866,                0.94388,                0.86087,                 0.1938,                0.40808,                0.04627,              0.0016571,              0.0016571,              0.0016571
                      6,                 0.2477,                0.40647,                0.05292,                 0.9021,                0.85448,                0.93732,                0.84972,                0.17622,                0.41142,                0.04238,              0.0016538,              0.0016538,              0.0016538
                      7,                0.24695,                0.39388,                0.05517,                    nan,                0.98053,                0.94306,                0.85679,                    nan,                    nan,                    nan,              0.0016505,              0.0016505,              0.0016505
                      8,                0.24565,                0.39277,                0.05049,                0.89831,                0.86404,                0.95149,                0.85732,                0.19967,                0.40737,                0.03834,              0.0016472,              0.0016472,              0.0016472
                      9,                0.23573,                0.38761,                0.04744,                0.90302,                0.84317,                0.93727,                0.84549,                0.18366,                0.43736,                0.03812,              0.0016439,              0.0016439,              0.0016439
                     10,                0.23098,                0.38323,                0.04576,                0.90251,                0.86858,                0.95337,                 0.8847,                0.15895,                0.40361,                 0.0321,              0.0016406,              0.0016406,              0.0016406
                     11,                0.22529,                0.36725,                  0.045,                0.90879,                0.87567,                0.96067,                0.88968,                0.15696,                0.38962,                0.03244,              0.0016373,              0.0016373,              0.0016373
                     12,                0.22653,                0.37498,                0.04489,                0.89489,                0.87883,                0.95603,                0.87533,                0.17519,                0.42487,                0.03592,               0.001634,               0.001634,               0.001634
                     13,                0.22142,                0.36917,                0.04266,                 0.9096,                0.87476,                0.95864,                0.88758,                 0.1594,                0.40117,                 0.0335,              0.0016307,              0.0016307,              0.0016307
                     14,                  0.236,                0.37371,                0.04596,                0.89181,                0.90318,                0.96106,                0.86472,                0.19851,                0.41834,                0.03998,              0.0016274,              0.0016274,              0.0016274
                     15,                0.23721,                0.37192,                0.04571,                0.90808,                0.89176,                0.96197,                0.86473,                0.18905,                0.39932,                0.03651,              0.0016241,              0.0016241,              0.0016241
                     16,                0.20992,                 0.3687,                0.04068,                0.89013,                0.90567,                0.96297,                0.89998,                0.14534,                0.37929,                0.03046,              0.0016208,              0.0016208,              0.0016208
                     17,                0.21212,                0.36081,                0.04058,                 0.9119,                 0.8764,                0.96248,                0.88633,                0.16232,                0.38521,                0.03223,              0.0016175,              0.0016175,              0.0016175
                     18,                0.21771,                0.36452,                0.04169,                0.89127,                0.90044,                  0.963,                0.86964,                0.19331,                 0.4212,                0.03756,              0.0016142,              0.0016142,              0.0016142
                     19,                0.21771,                0.36597,                0.04215,                 0.8948,                0.89296,                0.96377,                0.89222,                0.15345,                0.42452,                0.03307,              0.0016109,              0.0016109,              0.0016109
                     20,                0.21902,                0.37119,                0.04152,                0.89417,                0.88834,                0.96057,                0.88805,                0.15733,                0.40833,                0.03152,              0.0016076,              0.0016076,              0.0016076
                     21,                0.22091,                0.37109,                0.04285,                0.89494,                0.89781,                0.96398,                0.89857,                0.15247,                0.38801,                0.03234,              0.0016043,              0.0016043,              0.0016043
                     22,                0.21973,                0.38487,                0.04269,                    nan,                0.97211,                0.93713,                 0.8557,                    nan,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                     23,                0.21216,                0.36138,                0.04269,                    nan,                0.23558,                 0.2749,                0.24737,                    nan,                    nan,                    nan,              0.0015977,              0.0015977,              0.0015977
                     24,                0.21696,                0.35837,                0.04247,                    nan,                0.59969,                0.60014,                  0.538,                    nan,                    nan,                    nan,              0.0015944,              0.0015944,              0.0015944
                     25,                0.21592,                0.36976,                0.04135,                    nan,                0.97655,                0.93391,                0.86916,                    nan,                    nan,                    nan,              0.0015911,              0.0015911,              0.0015911
                     26,                0.21367,                0.37222,                0.04177,                    nan,                0.78343,                0.76213,                0.69456,                    nan,                    nan,                    nan,              0.0015878,              0.0015878,              0.0015878
                     27,                0.20852,                   0.36,                0.04078,                0.90838,                0.89086,                 0.9589,                0.88253,                0.17132,                0.38312,                  0.039,              0.0015845,              0.0015845,              0.0015845
                     28,                 0.2233,                0.36654,                0.04149,                0.90946,                0.86732,                0.95835,                0.88644,                 0.1534,                0.40948,                0.03053,              0.0015812,              0.0015812,              0.0015812
                     29,                0.20661,                0.36592,                 0.0394,                0.89588,                 0.8909,                0.96069,                0.87475,                0.17777,                 0.4207,                0.03522,              0.0015779,              0.0015779,              0.0015779
                     30,                0.20733,                 0.3592,                0.04043,                0.87406,                0.89645,                0.96034,                0.86777,                  0.184,                0.41555,                0.03428,              0.0015746,              0.0015746,              0.0015746
                     31,                0.20138,                0.35319,                 0.0392,                0.87857,                0.89599,                0.96012,                0.88387,                0.16022,                0.39591,                0.03093,              0.0015713,              0.0015713,              0.0015713
                     32,                0.19883,                0.35227,                0.03726,                    nan,                0.96323,                0.93347,                0.86953,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                     33,                0.19454,                0.34715,                0.03657,                    nan,                 0.5577,                0.55138,                0.52595,                    nan,                    nan,                    nan,              0.0015647,              0.0015647,              0.0015647
                     34,                0.21027,                0.36047,                0.03888,                    nan,                0.93201,                0.90445,                0.82779,                    nan,                    nan,                    nan,              0.0015614,              0.0015614,              0.0015614
                     35,                0.21119,                0.36104,                0.04018,                    nan,                0.94793,                0.89957,                  0.827,                    nan,                    nan,                    nan,              0.0015581,              0.0015581,              0.0015581
                     36,                 0.2095,                 0.3589,                0.04004,                0.97119,                0.44288,                0.46856,                0.45293,                    nan,                    nan,                    nan,              0.0015548,              0.0015548,              0.0015548
                     37,                0.20686,                0.35587,                0.03893,                    nan,                0.55347,                0.54754,                0.52933,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                     38,                0.22643,                0.36987,                0.04443,                0.90083,                0.89048,                 0.9623,                0.85237,                0.20716,                0.41324,                0.04398,              0.0015482,              0.0015482,              0.0015482
                     39,                0.23379,                0.37627,                0.04722,                 0.8997,                0.88021,                0.95793,                0.85771,                0.20207,                0.39844,                0.04442,              0.0015449,              0.0015449,              0.0015449
                     40,                0.20576,                0.35168,                 0.0413,                0.91228,                0.87571,                0.95874,                0.86808,                 0.1794,                0.40535,                0.04026,              0.0015416,              0.0015416,              0.0015416
                     41,                0.19687,                  0.349,                0.03685,                0.91301,                0.89043,                0.96134,                0.89746,                 0.1639,                0.37201,                0.03562,              0.0015383,              0.0015383,              0.0015383
                     42,                0.20426,                 0.3493,                 0.0405,                0.88734,                 0.8973,                0.96204,                0.88756,                0.16289,                0.40801,                0.03081,               0.001535,               0.001535,               0.001535
                     43,                0.19822,                0.35283,                0.03669,                0.89781,                0.89354,                0.96049,                0.86833,                0.18448,                0.41079,                0.03505,              0.0015317,              0.0015317,              0.0015317
                     44,                0.20488,                 0.3579,                0.03933,                0.87931,                0.89148,                0.96007,                0.88227,                0.17546,                0.42294,                0.03565,              0.0015284,              0.0015284,              0.0015284
                     45,                0.19763,                0.35705,                0.03667,                0.88941,                0.90852,                0.96352,                0.89187,                0.16342,                0.39227,                 0.0307,              0.0015251,              0.0015251,              0.0015251
                     46,                0.20558,                0.35399,                0.03958,                    nan,                0.65716,                0.64815,                 0.5738,                    nan,                    nan,                    nan,              0.0015218,              0.0015218,              0.0015218
                     47,                0.19726,                0.34853,                0.03799,                    nan,                0.63094,                0.62451,                0.55357,                    nan,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     48,                0.19313,                0.36052,                0.03558,                    nan,                0.94299,                0.91269,                  0.837,                    nan,                    nan,                    nan,              0.0015152,              0.0015152,              0.0015152
                     49,                 0.1953,                0.34365,                0.03696,                 0.8893,                0.89267,                0.96137,                 0.8982,                 0.1464,                0.38027,                0.02823,              0.0015119,              0.0015119,              0.0015119
                     50,                0.19492,                0.34606,                 0.0362,                0.88465,                0.89274,                 0.9613,                0.87169,                0.17952,                0.42049,                0.03284,              0.0015086,              0.0015086,              0.0015086
                     51,                0.19691,                0.34603,                0.03659,                0.90842,                0.89293,                0.96212,                0.88956,                0.15144,                0.38549,                0.02936,              0.0015053,              0.0015053,              0.0015053
                     52,                0.21793,                0.36335,                0.03893,                    nan,                0.93031,                0.90006,                0.80925,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     53,                0.19811,                0.35435,                0.03713,                0.90433,                0.89109,                0.96356,                0.89439,                 0.1561,                0.39151,                0.03105,              0.0014987,              0.0014987,              0.0014987
                     54,                0.19054,                0.35202,                0.03529,                0.89455,                 0.8986,                0.96386,                0.89655,                 0.1494,                0.43176,                 0.0286,              0.0014954,              0.0014954,              0.0014954
                     55,                0.19497,                0.34647,                0.03436,                0.90981,                0.88572,                0.96241,                  0.892,                0.16137,                 0.3809,                 0.0306,              0.0014921,              0.0014921,              0.0014921
                     56,                 0.1866,                 0.3435,                0.03419,                0.88966,                0.90304,                0.96367,                0.88745,                0.16447,                0.38553,                0.03055,              0.0014888,              0.0014888,              0.0014888
                     57,                0.18495,                0.33748,                0.03548,                    nan,                0.98757,                0.95654,                0.89061,                    nan,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     58,                0.18195,                0.34403,                 0.0332,                0.91034,                 0.8807,                0.96101,                0.88175,                0.17379,                0.44473,                0.03356,              0.0014822,              0.0014822,              0.0014822
                     59,                0.18891,                0.34267,                0.03483,                    nan,                0.92102,                0.89647,                0.82322,                    nan,                    nan,                    nan,              0.0014789,              0.0014789,              0.0014789
                     60,                0.19053,                0.34871,                 0.0358,                    nan,                0.55085,                0.54318,                0.52102,                    nan,                    nan,                    nan,              0.0014756,              0.0014756,              0.0014756
                     61,                0.19531,                0.35058,                0.03672,                    nan,                0.69402,                0.68682,                0.65134,                    nan,                    nan,                    nan,              0.0014723,              0.0014723,              0.0014723
                     62,                0.20463,                0.36029,                 0.0367,                    nan,                0.93882,                0.89481,                0.81595,                    nan,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     63,                0.19625,                0.34673,                0.03636,                0.88722,                0.88938,                0.95706,                0.86991,                0.19193,                0.41361,                0.03692,              0.0014657,              0.0014657,              0.0014657
                     64,                0.19444,                0.34649,                  0.035,                0.89516,                 0.8956,                0.96346,                0.86535,                0.19245,                0.44726,                0.03689,              0.0014624,              0.0014624,              0.0014624
                     65,                0.19249,                0.34575,                0.03519,                    nan,                0.91028,                0.88667,                0.81927,                    nan,                    nan,                    nan,              0.0014591,              0.0014591,              0.0014591
                     66,                0.18708,                0.34395,                0.03469,                    nan,                0.86553,                0.84785,                0.79173,                    nan,                    nan,                    nan,              0.0014558,              0.0014558,              0.0014558
                     67,                0.18351,                0.34079,                0.03407,                    nan,                 0.8757,                0.85791,                0.81247,                    nan,                    nan,                    nan,              0.0014525,              0.0014525,              0.0014525
                     68,                0.19071,                0.35269,                0.03481,                    nan,                0.62737,                0.62547,                0.57557,                    nan,                    nan,                    nan,              0.0014492,              0.0014492,              0.0014492
                     69,                0.19099,                 0.3482,                 0.0341,                    nan,                 0.7486,                 0.7351,                0.67366,                    nan,                    nan,                    nan,              0.0014459,              0.0014459,              0.0014459
                     70,                0.19817,                0.36389,                0.03628,                    nan,                0.98026,                0.94637,                 0.8871,                    nan,                    nan,                    nan,              0.0014426,              0.0014426,              0.0014426
                     71,                0.18349,                 0.3523,                0.03319,                0.89395,                0.89148,                0.96183,                 0.8901,                0.15814,                0.39237,                0.02984,              0.0014393,              0.0014393,              0.0014393
                     72,                0.18723,                0.34882,                0.03436,                0.90185,                0.86297,                0.94467,                0.87438,                0.15203,                0.41229,                0.02705,               0.001436,               0.001436,               0.001436
                     73,                0.18937,                0.34952,                0.03405,                0.89819,                0.89344,                0.96279,                0.89232,                0.15324,                0.38177,                0.02985,              0.0014327,              0.0014327,              0.0014327
                     74,                   0.19,                0.35133,                0.03335,                    nan,                0.95884,                0.92981,                0.86732,                    nan,                    nan,                    nan,              0.0014294,              0.0014294,              0.0014294
                     75,                0.18958,                0.34703,                0.03466,                    nan,                0.69225,                0.68462,                0.64769,                    nan,                    nan,                    nan,              0.0014261,              0.0014261,              0.0014261
                     76,                0.19245,                0.35786,                0.03545,                    nan,                0.74444,                0.73181,                0.69443,                    nan,                    nan,                    nan,              0.0014228,              0.0014228,              0.0014228
                     77,                0.18863,                0.34765,                0.03491,                    nan,                0.77642,                0.76615,                0.72449,                    nan,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     78,                0.19042,                0.37332,                0.03541,                    nan,                0.93287,                0.90836,                0.85332,                    nan,                    nan,                    nan,              0.0014161,              0.0014161,              0.0014161
                     79,                0.18643,                0.35788,                0.03589,                0.88941,                0.88617,                0.95275,                0.88145,                  0.159,                0.39897,                0.03441,              0.0014128,              0.0014128,              0.0014128
                     80,                0.19093,                0.35656,                0.03563,                0.91153,                0.88677,                0.96202,                0.89977,                0.14914,                0.36977,                0.02918,              0.0014095,              0.0014095,              0.0014095
                     81,                0.18974,                0.34689,                0.03628,                0.88251,                0.90306,                0.96085,                 0.9004,                0.14739,                0.38111,                0.02991,              0.0014062,              0.0014062,              0.0014062
                     82,                0.18565,                0.34556,                0.03461,                0.88838,                0.89585,                0.96233,                0.89921,                0.14629,                0.37874,                0.02973,              0.0014029,              0.0014029,              0.0014029
                     83,                0.18713,                0.34745,                 0.0329,                0.89343,                0.89126,                0.96334,                0.90285,                0.14275,                0.38826,                0.02801,              0.0013996,              0.0013996,              0.0013996
                     84,                0.19442,                 0.3488,                0.03558,                    nan,                0.90399,                0.88073,                0.82185,                    nan,                    nan,                    nan,              0.0013963,              0.0013963,              0.0013963
                     85,                0.19146,                0.34052,                 0.0345,                0.92229,                0.87454,                0.96272,                0.89505,                0.15493,                  0.402,                0.03257,               0.001393,               0.001393,               0.001393
                     86,                0.18535,                0.34425,                0.03265,                0.89029,                 0.8912,                0.95919,                0.88585,                0.16927,                0.40718,                0.03446,              0.0013897,              0.0013897,              0.0013897
                     87,                0.18313,                0.33783,                0.03412,                0.89458,                0.86506,                0.94862,                0.88291,                0.17372,                 0.4244,                0.03763,              0.0013864,              0.0013864,              0.0013864
                     88,                0.18767,                0.34828,                0.03506,                0.89871,                0.88061,                0.95841,                0.89356,                0.15619,                0.40972,                0.03411,              0.0013831,              0.0013831,              0.0013831
                     89,                0.19232,                0.34705,                0.03435,                0.87977,                0.90312,                0.95797,                0.88171,                0.17375,                0.40304,                0.03367,              0.0013798,              0.0013798,              0.0013798
                     90,                0.18586,                0.34548,                0.03472,                0.87913,                0.91174,                0.96253,                0.90493,                0.14244,                0.36877,                0.02864,              0.0013765,              0.0013765,              0.0013765
                     91,                0.18252,                 0.3433,                0.03323,                0.88618,                0.90188,                0.96018,                0.90299,                0.14425,                0.37508,                0.02949,              0.0013732,              0.0013732,              0.0013732
                     92,                0.18576,                0.35101,                0.03327,                0.91083,                0.88725,                0.95681,                0.89614,                0.17518,                0.38927,                0.03883,              0.0013699,              0.0013699,              0.0013699
                     93,                0.18132,                0.33915,                0.03334,                0.88408,                0.88649,                0.95411,                0.89469,                 0.1635,                0.40757,                0.03399,              0.0013666,              0.0013666,              0.0013666
                     94,                0.17977,                0.34033,                0.03251,                0.90256,                 0.8852,                0.95898,                0.89177,                 0.1618,                0.40061,                0.03333,              0.0013633,              0.0013633,              0.0013633
                     95,                0.18263,                 0.3481,                0.03375,                0.89455,                0.89064,                0.96182,                0.88792,                0.16223,                0.41073,                0.02904,                0.00136,                0.00136,                0.00136
                     96,                0.18605,                0.34417,                0.03374,                    nan,                 0.8199,                0.80087,                0.74598,                    nan,                    nan,                    nan,              0.0013567,              0.0013567,              0.0013567
                     97,                0.18068,                0.33235,                0.03282,                    nan,                0.64047,                0.63474,                0.60747,                    nan,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
                     98,                 0.1804,                0.33586,                0.03245,                    nan,                0.98268,                0.95147,                0.88571,                    nan,                    nan,                    nan,              0.0013501,              0.0013501,              0.0013501
                     99,                0.17688,                0.33408,                0.03361,                    nan,                0.98332,                0.94532,                0.88492,                    nan,                    nan,                    nan,              0.0013468,              0.0013468,              0.0013468
                    100,                0.18692,                0.35308,                 0.0356,                    nan,                0.98442,                0.95245,                0.89183,                    nan,                    nan,                    nan,              0.0013435,              0.0013435,              0.0013435
                    101,                 0.1816,                0.34425,                0.03407,                0.88577,                0.89051,                0.95946,                 0.8918,                0.15649,                0.39675,                0.03236,              0.0013402,              0.0013402,              0.0013402
                    102,                0.19023,                0.34593,                 0.0356,                0.89576,                0.88692,                0.95602,                0.88256,                0.15827,                0.42131,                0.03184,              0.0013369,              0.0013369,              0.0013369
                    103,                0.18973,                0.35013,                0.03594,                0.90333,                0.88229,                0.95942,                0.89089,                0.15976,                0.41021,                0.03146,              0.0013336,              0.0013336,              0.0013336
                    104,                0.18363,                0.35174,                0.03405,                    nan,                0.98216,                0.94293,                0.87164,                    nan,                    nan,                    nan,              0.0013303,              0.0013303,              0.0013303
                    105,                0.18254,                0.35534,                0.03369,                0.89027,                0.89311,                0.96068,                0.89467,                0.15274,                0.39097,                0.02903,               0.001327,               0.001327,               0.001327
                    106,                0.18046,                0.35571,                0.03246,                 0.8801,                0.89793,                0.95932,                0.89474,                0.14766,                0.39963,                0.03073,              0.0013237,              0.0013237,              0.0013237
                    107,                0.18213,                0.35059,                0.03254,                0.89082,                0.89526,                0.96015,                0.90158,                0.14914,                0.40712,                0.03121,              0.0013204,              0.0013204,              0.0013204
                    108,                 0.1906,                 0.3417,                0.03612,                0.88607,                0.90575,                 0.9632,                0.89528,                0.15301,                0.40596,                0.02961,              0.0013171,              0.0013171,              0.0013171
                    109,                0.19341,                0.34416,                0.03512,                0.88886,                0.90402,                0.96226,                0.88604,                0.16209,                0.39928,                0.03206,              0.0013138,              0.0013138,              0.0013138
